,nearby,devices,datetime,location
0,1,iPhone 8 Plus,2022-05-11 10:23:24.293929,Beacon1
1,1,House Keys,2022-05-11 10:23:24.299191,Beacon1
2,1,Wallet,2022-05-11 10:23:24.303292,Beacon1
3,1,iPhone 8 Plus,2022-05-11 10:23:29.373186,Beacon1
4,1,House Keys,2022-05-11 10:23:29.380269,Beacon1
5,1,Wallet,2022-05-11 10:23:29.385277,Beacon1
6,1,iPhone 8 Plus,2022-05-11 10:23:34.444409,Beacon1
7,1,House Keys,2022-05-11 10:23:34.450208,Beacon1
8,1,Wallet,2022-05-11 10:23:34.454845,Beacon1
9,1,iPhone 8 Plus,2022-05-11 10:23:49.653187,Beacon1
10,1,House Keys,2022-05-11 10:23:49.657394,Beacon1
11,1,Wallet,2022-05-11 10:23:49.663368,Beacon1
12,1,iPhone 8 Plus,2022-05-11 10:23:54.724052,Beacon1
13,1,House Keys,2022-05-11 10:23:54.730559,Beacon1
14,1,Wallet,2022-05-11 10:23:54.734965,Beacon1
15,1,iPhone 8 Plus,2022-05-11 10:23:59.793050,Beacon1
16,1,House Keys,2022-05-11 10:23:59.799609,Beacon1
17,1,Wallet,2022-05-11 10:23:59.803775,Beacon1
18,1,iPhone 8 Plus,2022-05-11 10:24:09.914307,Beacon1
19,1,House Keys,2022-05-11 10:24:09.919847,Beacon1
20,1,Wallet,2022-05-11 10:24:09.924534,Beacon1
21,1,iPhone 8 Plus,2022-05-11 10:24:14.982628,Beacon1
22,1,House Keys,2022-05-11 10:24:14.988829,Beacon1
23,1,Wallet,2022-05-11 10:24:14.992959,Beacon1
24,1,iPhone 8 Plus,2022-05-11 10:24:45.291896,Beacon1
25,1,House Keys,2022-05-11 10:24:45.294392,Beacon1
26,1,Wallet,2022-05-11 10:24:45.297404,Beacon1
27,1,iPhone 8 Plus,2022-05-11 10:24:50.337135,Beacon1
28,1,House Keys,2022-05-11 10:24:50.342904,Beacon1
29,1,Wallet,2022-05-11 10:24:50.348042,Beacon1
30,1,iPhone 8 Plus,2022-05-11 10:24:55.407184,Beacon1
31,1,House Keys,2022-05-11 10:24:55.413803,Beacon1
32,1,Wallet,2022-05-11 10:24:55.419165,Beacon1
33,1,iPhone 8 Plus,2022-05-11 10:25:00.477320,Beacon1
34,1,House Keys,2022-05-11 10:25:00.481421,Beacon1
35,1,Wallet,2022-05-11 10:25:00.487422,Beacon1
36,1,iPhone 8 Plus,2022-05-11 10:25:05.544857,Beacon1
37,1,House Keys,2022-05-11 10:25:05.550586,Beacon1
38,0,Wallet,2022-05-11 10:25:05.556013,Beacon1
39,1,iPhone 8 Plus,2022-05-11 10:25:15.659548,Beacon1
40,1,House Keys,2022-05-11 10:25:15.667337,Beacon1
41,0,Wallet,2022-05-11 10:25:15.675614,Beacon1
42,1,iPhone 8 Plus,2022-05-11 10:25:20.737722,Beacon1
43,1,House Keys,2022-05-11 10:25:20.744921,Beacon1
44,0,Wallet,2022-05-11 10:25:20.749550,Beacon1
45,1,iPhone 8 Plus,2022-05-11 10:25:35.949982,Beacon1
46,1,House Keys,2022-05-11 10:25:35.954302,Beacon1
47,0,Wallet,2022-05-11 10:25:35.957964,Beacon1
48,1,iPhone 8 Plus,2022-05-11 10:25:41.010354,Beacon1
49,1,House Keys,2022-05-11 10:25:41.013337,Beacon1
50,0,Wallet,2022-05-11 10:25:41.016472,Beacon1
51,1,iPhone 8 Plus,2022-05-11 10:25:56.181198,Beacon1
52,1,House Keys,2022-05-11 10:25:56.186114,Beacon1
53,0,Wallet,2022-05-11 10:25:56.192053,Beacon1
54,1,iPhone 8 Plus,2022-05-11 10:26:01.249701,Beacon1
55,1,House Keys,2022-05-11 10:26:01.256847,Beacon1
56,0,Wallet,2022-05-11 10:26:01.262394,Beacon1
57,1,iPhone 8 Plus,2022-05-11 10:26:06.325489,Beacon1
58,1,House Keys,2022-05-11 10:26:06.332717,Beacon1
59,0,Wallet,2022-05-11 10:26:06.338449,Beacon1
60,1,iPhone 8 Plus,2022-05-11 10:26:11.405804,Beacon1
61,1,House Keys,2022-05-11 10:26:11.412721,Beacon1
62,0,Wallet,2022-05-11 10:26:11.417318,Beacon1
63,1,iPhone 8 Plus,2022-05-11 10:26:16.475181,Beacon1
64,1,House Keys,2022-05-11 10:26:16.480606,Beacon1
65,0,Wallet,2022-05-11 10:26:16.485690,Beacon1
66,1,iPhone 8 Plus,2022-05-11 10:26:21.527125,Beacon1
67,1,House Keys,2022-05-11 10:26:21.535002,Beacon1
68,0,Wallet,2022-05-11 10:26:21.539793,Beacon1
69,1,iPhone 8 Plus,2022-05-11 10:26:31.639346,Beacon1
70,1,House Keys,2022-05-11 10:26:31.646961,Beacon1
71,0,Wallet,2022-05-11 10:26:31.651629,Beacon1
72,1,iPhone 8 Plus,2022-05-11 10:26:36.710407,Beacon1
73,1,House Keys,2022-05-11 10:26:36.715737,Beacon1
74,0,Wallet,2022-05-11 10:26:36.720535,Beacon1
75,1,iPhone 8 Plus,2022-05-11 10:26:41.777250,Beacon1
76,1,House Keys,2022-05-11 10:26:41.784102,Beacon1
77,0,Wallet,2022-05-11 10:26:41.788960,Beacon1
78,1,iPhone 8 Plus,2022-05-11 10:26:46.848512,Beacon1
79,1,House Keys,2022-05-11 10:26:46.856583,Beacon1
80,0,Wallet,2022-05-11 10:26:46.860587,Beacon1
81,1,iPhone 8 Plus,2022-05-11 10:26:56.996669,Beacon1
82,1,House Keys,2022-05-11 10:26:57.000536,Beacon1
83,0,Wallet,2022-05-11 10:26:57.003722,Beacon1
84,1,iPhone 8 Plus,2022-05-11 10:27:07.121296,Beacon1
85,1,House Keys,2022-05-11 10:27:07.125501,Beacon1
86,0,Wallet,2022-05-11 10:27:07.129237,Beacon1
87,1,iPhone 8 Plus,2022-05-11 10:27:12.194085,Beacon1
88,1,House Keys,2022-05-11 10:27:12.202198,Beacon1
89,0,Wallet,2022-05-11 10:27:12.207858,Beacon1
90,1,iPhone 8 Plus,2022-05-11 10:27:17.265480,Beacon1
91,1,House Keys,2022-05-11 10:27:17.268581,Beacon1
92,0,Wallet,2022-05-11 10:27:17.271211,Beacon1
93,1,iPhone 8 Plus,2022-05-11 10:27:27.363753,Beacon1
94,1,House Keys,2022-05-11 10:27:27.368823,Beacon1
95,0,Wallet,2022-05-11 10:27:27.373238,Beacon1
96,1,iPhone 8 Plus,2022-05-11 10:27:32.435216,Beacon1
