,nearby,devices,datetime,location
0,1,iPhone 8 Plus,2022-05-11 09:58:19.762204,Beacon1
1,1,House Keys,2022-05-11 09:58:19.771136,Beacon1
2,1,Wallet,2022-05-11 09:58:19.776188,Beacon1
3,1,iPhone 8 Plus,2022-05-11 09:58:24.835336,Beacon1
4,1,House Keys,2022-05-11 09:58:24.841830,Beacon1
5,1,Wallet,2022-05-11 09:58:24.847766,Beacon1
6,1,iPhone 8 Plus,2022-05-11 09:58:34.964401,Beacon1
7,1,House Keys,2022-05-11 09:58:34.970862,Beacon1
8,1,Wallet,2022-05-11 09:58:34.976818,Beacon1
9,1,iPhone 8 Plus,2022-05-11 09:58:40.035414,Beacon1
10,1,House Keys,2022-05-11 09:58:40.042757,Beacon1
11,1,Wallet,2022-05-11 09:58:40.048407,Beacon1
12,1,iPhone 8 Plus,2022-05-11 09:58:45.107247,Beacon1
13,1,House Keys,2022-05-11 09:58:45.112786,Beacon1
14,1,Wallet,2022-05-11 09:58:45.117264,Beacon1
15,1,iPhone 8 Plus,2022-05-11 09:58:50.173013,Beacon1
16,1,House Keys,2022-05-11 09:58:50.178453,Beacon1
17,1,Wallet,2022-05-11 09:58:50.183793,Beacon1
18,1,iPhone 8 Plus,2022-05-11 09:58:55.238266,Beacon1
19,1,House Keys,2022-05-11 09:58:55.243820,Beacon1
20,1,Wallet,2022-05-11 09:58:55.249341,Beacon1
21,1,iPhone 8 Plus,2022-05-11 09:59:00.305987,Beacon1
22,1,House Keys,2022-05-11 09:59:00.313939,Beacon1
23,1,Wallet,2022-05-11 09:59:00.319035,Beacon1
24,1,iPhone 8 Plus,2022-05-11 09:59:05.375854,Beacon1
25,1,House Keys,2022-05-11 09:59:05.382610,Beacon1
26,1,Wallet,2022-05-11 09:59:05.387706,Beacon1
27,1,iPhone 8 Plus,2022-05-11 09:59:10.443773,Beacon1
28,1,House Keys,2022-05-11 09:59:10.449233,Beacon1
29,1,Wallet,2022-05-11 09:59:10.453838,Beacon1
30,1,iPhone 8 Plus,2022-05-11 09:59:15.510594,Beacon1
31,1,House Keys,2022-05-11 09:59:15.515386,Beacon1
32,1,Wallet,2022-05-11 09:59:15.520075,Beacon1
33,1,iPhone 8 Plus,2022-05-11 09:59:25.606894,Beacon1
34,1,House Keys,2022-05-11 09:59:25.610423,Beacon1
35,1,Wallet,2022-05-11 09:59:25.613838,Beacon1
36,1,iPhone 8 Plus,2022-05-11 09:59:30.652451,Beacon1
37,1,House Keys,2022-05-11 09:59:30.658660,Beacon1
38,1,Wallet,2022-05-11 09:59:30.664493,Beacon1
39,1,iPhone 8 Plus,2022-05-11 09:59:35.725234,Beacon1
40,1,House Keys,2022-05-11 09:59:35.731458,Beacon1
41,1,Wallet,2022-05-11 09:59:35.736597,Beacon1
42,1,iPhone 8 Plus,2022-05-11 09:59:40.791717,Beacon1
43,1,House Keys,2022-05-11 09:59:40.794169,Beacon1
44,1,Wallet,2022-05-11 09:59:40.796041,Beacon1
45,1,iPhone 8 Plus,2022-05-11 09:59:50.889342,Beacon1
46,1,House Keys,2022-05-11 09:59:50.894738,Beacon1
47,1,Wallet,2022-05-11 09:59:50.899744,Beacon1
48,1,iPhone 8 Plus,2022-05-11 09:59:55.958221,Beacon1
49,1,House Keys,2022-05-11 09:59:55.964218,Beacon1
50,1,Wallet,2022-05-11 09:59:55.969111,Beacon1
51,1,iPhone 8 Plus,2022-05-11 10:00:01.027238,Beacon1
52,1,House Keys,2022-05-11 10:00:01.033153,Beacon1
53,1,Wallet,2022-05-11 10:00:01.039040,Beacon1
54,1,iPhone 8 Plus,2022-05-11 10:00:11.163697,Beacon1
55,1,House Keys,2022-05-11 10:00:11.167748,Beacon1
56,1,Wallet,2022-05-11 10:00:11.172054,Beacon1
57,1,iPhone 8 Plus,2022-05-11 10:00:16.210197,Beacon1
58,1,House Keys,2022-05-11 10:00:16.216793,Beacon1
59,1,Wallet,2022-05-11 10:00:16.222653,Beacon1
60,1,iPhone 8 Plus,2022-05-11 10:00:21.280642,Beacon1
61,1,House Keys,2022-05-11 10:00:21.286082,Beacon1
62,1,Wallet,2022-05-11 10:00:21.291107,Beacon1
63,1,iPhone 8 Plus,2022-05-11 10:00:26.349196,Beacon1
64,1,House Keys,2022-05-11 10:00:26.351698,Beacon1
65,1,Wallet,2022-05-11 10:00:26.354190,Beacon1
66,1,iPhone 8 Plus,2022-05-11 10:00:31.405376,Beacon1
67,1,House Keys,2022-05-11 10:00:31.410916,Beacon1
68,1,Wallet,2022-05-11 10:00:31.415200,Beacon1
69,0,iPhone 8 Plus,2022-05-11 10:00:41.532503,Beacon1
