,nearby,devices,datetime,location
94,1,Passport Wallet,2022-05-11 16:59:07.886755,Beacon3
95,1,iPhone 8 Plus,2022-05-11 16:59:12.935972,Beacon1
96,1,House Keys,2022-05-11 16:59:12.944010,Beacon1
97,1,Wallet,2022-05-11 16:59:12.948937,Beacon1
98,1,Bose SoundLink,2022-05-11 16:59:12.953045,Beacon2
99,1,Passport Wallet,2022-05-11 16:59:12.956826,Beacon3
100,1,iPhone 8 Plus,2022-05-11 16:59:18.014052,Beacon1
101,1,House Keys,2022-05-11 16:59:18.021166,Beacon1
102,1,Wallet,2022-05-11 16:59:18.026697,Beacon1
103,1,Bose SoundLink,2022-05-11 16:59:18.032094,Beacon2
104,1,Passport Wallet,2022-05-11 16:59:18.035761,Beacon3
105,1,iPhone 8 Plus,2022-05-11 16:59:23.092989,Beacon1
106,1,House Keys,2022-05-11 16:59:23.100486,Beacon1
107,1,Wallet,2022-05-11 16:59:23.105528,Beacon1
108,1,Bose SoundLink,2022-05-11 16:59:23.111204,Beacon2
109,1,Passport Wallet,2022-05-11 16:59:23.115259,Beacon3
110,1,iPhone 8 Plus,2022-05-11 16:59:33.224377,Beacon1
111,1,House Keys,2022-05-11 16:59:33.232309,Beacon1
112,1,Wallet,2022-05-11 16:59:33.237101,Beacon1
113,1,Bose SoundLink,2022-05-11 16:59:33.241679,Beacon2
114,1,Passport Wallet,2022-05-11 16:59:33.246399,Beacon3
115,1,iPhone 8 Plus,2022-05-11 16:59:48.440049,Beacon1
116,1,House Keys,2022-05-11 16:59:48.448287,Beacon1
117,1,Wallet,2022-05-11 16:59:48.453450,Beacon1
118,1,Bose SoundLink,2022-05-11 16:59:48.457910,Beacon2
119,1,Passport Wallet,2022-05-11 16:59:48.461949,Beacon3
120,1,iPhone 8 Plus,2022-05-11 16:59:53.520226,Beacon1
121,1,House Keys,2022-05-11 16:59:53.526778,Beacon1
122,1,Wallet,2022-05-11 16:59:53.533296,Beacon1
123,1,Bose SoundLink,2022-05-11 16:59:53.538022,Beacon2
124,1,Passport Wallet,2022-05-11 16:59:53.541630,Beacon3
125,1,iPhone 8 Plus,2022-05-11 16:59:58.600310,Beacon1
126,1,House Keys,2022-05-11 16:59:58.606439,Beacon1
127,1,Wallet,2022-05-11 16:59:58.611253,Beacon1
128,1,Bose SoundLink,2022-05-11 16:59:58.616672,Beacon2
129,1,Passport Wallet,2022-05-11 16:59:58.620409,Beacon3
130,1,iPhone 8 Plus,2022-05-11 17:00:03.677814,Beacon1
131,1,House Keys,2022-05-11 17:00:03.685332,Beacon1
132,1,Wallet,2022-05-11 17:00:03.690731,Beacon1
133,1,Bose SoundLink,2022-05-11 17:00:03.695893,Beacon2
134,1,Passport Wallet,2022-05-11 17:00:03.700359,Beacon3
135,1,iPhone 8 Plus,2022-05-11 17:00:08.760842,Beacon1
136,1,House Keys,2022-05-11 17:00:08.768484,Beacon1
137,1,Wallet,2022-05-11 17:00:08.773868,Beacon1
138,1,Bose SoundLink,2022-05-11 17:00:08.778436,Beacon2
139,1,Passport Wallet,2022-05-11 17:00:08.783268,Beacon3
140,1,iPhone 8 Plus,2022-05-11 17:00:13.840603,Beacon1
141,1,House Keys,2022-05-11 17:00:13.848127,Beacon1
142,1,Wallet,2022-05-11 17:00:13.853519,Beacon1
143,1,Bose SoundLink,2022-05-11 17:00:13.858040,Beacon2
144,1,Passport Wallet,2022-05-11 17:00:13.862118,Beacon3
145,1,iPhone 8 Plus,2022-05-11 17:00:18.919750,Beacon1
146,1,House Keys,2022-05-11 17:00:18.925837,Beacon1
147,1,Wallet,2022-05-11 17:00:18.931944,Beacon1
148,1,Bose SoundLink,2022-05-11 17:00:18.937164,Beacon2
149,1,Passport Wallet,2022-05-11 17:00:18.941267,Beacon3
150,1,iPhone 8 Plus,2022-05-11 17:00:23.999357,Beacon1
151,1,House Keys,2022-05-11 17:00:24.006901,Beacon1
152,1,Wallet,2022-05-11 17:00:24.012087,Beacon1
153,1,Bose SoundLink,2022-05-11 17:00:24.017436,Beacon2
154,1,Passport Wallet,2022-05-11 17:00:24.021350,Beacon3
155,1,iPhone 8 Plus,2022-05-11 17:00:29.082298,Beacon1
156,1,House Keys,2022-05-11 17:00:29.091114,Beacon1
157,1,Wallet,2022-05-11 17:00:29.097230,Beacon1
158,1,Bose SoundLink,2022-05-11 17:00:29.103272,Beacon2
159,1,Passport Wallet,2022-05-11 17:00:29.107496,Beacon3
160,1,iPhone 8 Plus,2022-05-11 17:00:34.163280,Beacon1
161,1,House Keys,2022-05-11 17:00:34.169064,Beacon1
162,1,Wallet,2022-05-11 17:00:34.173515,Beacon1
163,1,Bose SoundLink,2022-05-11 17:00:34.179476,Beacon2
164,1,Passport Wallet,2022-05-11 17:00:34.185187,Beacon3
165,1,iPhone 8 Plus,2022-05-11 17:00:39.240084,Beacon1
166,1,House Keys,2022-05-11 17:00:39.246094,Beacon1
167,1,Wallet,2022-05-11 17:00:39.252585,Beacon1
168,1,Bose SoundLink,2022-05-11 17:00:39.256883,Beacon2
169,1,Passport Wallet,2022-05-11 17:00:39.260701,Beacon3
170,1,iPhone 8 Plus,2022-05-11 17:00:49.376081,Beacon1
171,1,House Keys,2022-05-11 17:00:49.382463,Beacon1
172,1,Wallet,2022-05-11 17:00:49.388542,Beacon1
173,1,Bose SoundLink,2022-05-11 17:00:49.393657,Beacon2
174,1,Passport Wallet,2022-05-11 17:00:49.398122,Beacon3
175,1,iPhone 8 Plus,2022-05-11 17:00:59.522552,Beacon1
176,1,House Keys,2022-05-11 17:00:59.528306,Beacon1
177,1,Wallet,2022-05-11 17:00:59.533801,Beacon1
178,1,Bose SoundLink,2022-05-11 17:00:59.538908,Beacon2
179,1,Passport Wallet,2022-05-11 17:00:59.542621,Beacon3
180,1,iPhone 8 Plus,2022-05-11 17:01:04.599619,Beacon1
181,1,House Keys,2022-05-11 17:01:04.607243,Beacon1
182,1,Wallet,2022-05-11 17:01:04.612735,Beacon1
183,1,Bose SoundLink,2022-05-11 17:01:04.617186,Beacon2
184,1,Passport Wallet,2022-05-11 17:01:04.621394,Beacon3
185,1,iPhone 8 Plus,2022-05-11 17:01:09.679045,Beacon1
186,1,House Keys,2022-05-11 17:01:09.686763,Beacon1
187,1,Wallet,2022-05-11 17:01:09.692000,Beacon1
188,1,Bose SoundLink,2022-05-11 17:01:09.697111,Beacon2
189,1,Passport Wallet,2022-05-11 17:01:09.701351,Beacon3
190,1,iPhone 8 Plus,2022-05-11 17:01:14.757726,Beacon1
191,1,House Keys,2022-05-11 17:01:14.764268,Beacon1
192,1,Wallet,2022-05-11 17:01:14.770126,Beacon1
193,1,Bose SoundLink,2022-05-11 17:01:14.775013,Beacon2
194,1,Passport Wallet,2022-05-11 17:01:14.778596,Beacon3
195,1,iPhone 8 Plus,2022-05-11 17:01:19.837049,Beacon1
196,1,House Keys,2022-05-11 17:01:19.844565,Beacon1
197,1,Wallet,2022-05-11 17:01:19.849403,Beacon1
198,1,Bose SoundLink,2022-05-11 17:01:19.854914,Beacon2
199,1,Passport Wallet,2022-05-11 17:01:19.858887,Beacon3
200,1,iPhone 8 Plus,2022-05-11 17:01:24.916660,Beacon1
201,1,House Keys,2022-05-11 17:01:24.924702,Beacon1
202,1,Wallet,2022-05-11 17:01:24.929962,Beacon1
203,1,Bose SoundLink,2022-05-11 17:01:24.934530,Beacon2
204,1,Passport Wallet,2022-05-11 17:01:24.939918,Beacon3
205,1,iPhone 8 Plus,2022-05-11 17:01:29.996224,Beacon1
206,1,House Keys,2022-05-11 17:01:30.001969,Beacon1
207,1,Wallet,2022-05-11 17:01:30.007672,Beacon1
208,1,Bose SoundLink,2022-05-11 17:01:30.011812,Beacon2
209,1,Passport Wallet,2022-05-11 17:01:30.015483,Beacon3
210,1,iPhone 8 Plus,2022-05-11 17:01:35.072295,Beacon1
211,1,House Keys,2022-05-11 17:01:35.079282,Beacon1
212,1,Wallet,2022-05-11 17:01:35.084247,Beacon1
213,1,Bose SoundLink,2022-05-11 17:01:35.089780,Beacon2
214,1,Passport Wallet,2022-05-11 17:01:35.093824,Beacon3
215,1,iPhone 8 Plus,2022-05-11 17:01:55.352211,Beacon1
216,1,House Keys,2022-05-11 17:01:55.360319,Beacon1
217,1,Wallet,2022-05-11 17:01:55.366306,Beacon1
218,1,Bose SoundLink,2022-05-11 17:01:55.371028,Beacon2
219,1,Passport Wallet,2022-05-11 17:01:55.375955,Beacon3
220,1,iPhone 8 Plus,2022-05-11 17:02:00.432056,Beacon1
221,1,House Keys,2022-05-11 17:02:00.439327,Beacon1
222,1,Wallet,2022-05-11 17:02:00.445441,Beacon1
223,1,Bose SoundLink,2022-05-11 17:02:00.450047,Beacon2
224,1,Passport Wallet,2022-05-11 17:02:00.454052,Beacon3
225,1,iPhone 8 Plus,2022-05-11 17:02:15.651779,Beacon1
226,1,House Keys,2022-05-11 17:02:15.655145,Beacon1
227,1,Wallet,2022-05-11 17:02:15.658737,Beacon1
228,1,Bose SoundLink,2022-05-11 17:02:15.662717,Beacon2
229,1,Passport Wallet,2022-05-11 17:02:15.665779,Beacon3
230,1,iPhone 8 Plus,2022-05-11 17:02:25.781055,Beacon1
231,1,House Keys,2022-05-11 17:02:25.785395,Beacon1
232,1,Wallet,2022-05-11 17:02:25.789250,Beacon1
233,1,Bose SoundLink,2022-05-11 17:02:25.791902,Beacon2
234,1,Passport Wallet,2022-05-11 17:02:25.796489,Beacon3
235,1,iPhone 8 Plus,2022-05-11 17:02:30.842479,Beacon1
236,1,House Keys,2022-05-11 17:02:30.850681,Beacon1
237,1,Wallet,2022-05-11 17:02:30.857190,Beacon1
238,1,Bose SoundLink,2022-05-11 17:02:30.865876,Beacon2
239,1,Passport Wallet,2022-05-11 17:02:30.871588,Beacon3
240,1,iPhone 8 Plus,2022-05-11 17:02:35.927145,Beacon1
241,1,House Keys,2022-05-11 17:02:35.932549,Beacon1
242,1,Wallet,2022-05-11 17:02:35.937193,Beacon1
243,1,Bose SoundLink,2022-05-11 17:02:35.944499,Beacon2
244,1,Passport Wallet,2022-05-11 17:02:35.948906,Beacon3
245,1,iPhone 8 Plus,2022-05-11 17:02:46.076966,Beacon1
246,1,House Keys,2022-05-11 17:02:46.083571,Beacon1
247,1,Wallet,2022-05-11 17:02:46.089016,Beacon1
248,1,Bose SoundLink,2022-05-11 17:02:46.094204,Beacon2
249,1,Passport Wallet,2022-05-11 17:02:46.098414,Beacon3
250,1,iPhone 8 Plus,2022-05-11 17:02:56.214054,Beacon1
251,1,House Keys,2022-05-11 17:02:56.219955,Beacon1
252,1,Wallet,2022-05-11 17:02:56.224502,Beacon1
253,1,Bose SoundLink,2022-05-11 17:02:56.229437,Beacon2
254,1,Passport Wallet,2022-05-11 17:02:56.235037,Beacon3
255,1,iPhone 8 Plus,2022-05-11 17:03:01.287962,Beacon1
256,1,House Keys,2022-05-11 17:03:01.293798,Beacon1
257,1,Wallet,2022-05-11 17:03:01.298902,Beacon1
258,1,Bose SoundLink,2022-05-11 17:03:01.304273,Beacon2
259,1,Passport Wallet,2022-05-11 17:03:01.310343,Beacon3
260,1,iPhone 8 Plus,2022-05-11 17:03:06.375048,Beacon1
261,1,House Keys,2022-05-11 17:03:06.378326,Beacon1
262,1,Wallet,2022-05-11 17:03:06.381577,Beacon1
263,1,Bose SoundLink,2022-05-11 17:03:06.383874,Beacon2
264,1,Passport Wallet,2022-05-11 17:03:06.386261,Beacon3
265,1,iPhone 8 Plus,2022-05-11 17:03:16.496074,Beacon1
266,1,House Keys,2022-05-11 17:03:16.503289,Beacon1
267,1,Wallet,2022-05-11 17:03:16.508830,Beacon1
268,1,Bose SoundLink,2022-05-11 17:03:16.513870,Beacon2
269,1,Passport Wallet,2022-05-11 17:03:16.518542,Beacon3
270,1,iPhone 8 Plus,2022-05-11 17:03:21.577998,Beacon1
271,1,House Keys,2022-05-11 17:03:21.585744,Beacon1
272,1,Wallet,2022-05-11 17:03:21.592025,Beacon1
273,1,Bose SoundLink,2022-05-11 17:03:21.596510,Beacon2
274,1,Passport Wallet,2022-05-11 17:03:21.601372,Beacon3
275,1,iPhone 8 Plus,2022-05-11 17:03:26.660458,Beacon1
276,1,House Keys,2022-05-11 17:03:26.665826,Beacon1
277,1,Wallet,2022-05-11 17:03:26.669575,Beacon1
278,1,Bose SoundLink,2022-05-11 17:03:26.673814,Beacon2
279,1,Passport Wallet,2022-05-11 17:03:26.677814,Beacon3
280,1,iPhone 8 Plus,2022-05-11 17:03:31.727141,Beacon1
281,1,House Keys,2022-05-11 17:03:31.735798,Beacon1
282,1,Wallet,2022-05-11 17:03:31.740455,Beacon1
283,1,Bose SoundLink,2022-05-11 17:03:31.744177,Beacon2
284,1,Passport Wallet,2022-05-11 17:03:31.748620,Beacon3
285,1,iPhone 8 Plus,2022-05-11 17:03:46.957259,Beacon1
286,1,House Keys,2022-05-11 17:03:46.962584,Beacon1
287,1,Wallet,2022-05-11 17:03:46.968040,Beacon1
288,1,Bose SoundLink,2022-05-11 17:03:46.972018,Beacon2
289,1,Passport Wallet,2022-05-11 17:03:46.975679,Beacon3
290,1,iPhone 8 Plus,2022-05-11 17:03:52.029979,Beacon1
291,1,House Keys,2022-05-11 17:03:52.035821,Beacon1
292,1,Wallet,2022-05-11 17:03:52.041440,Beacon1
293,1,Bose SoundLink,2022-05-11 17:03:52.047686,Beacon2
294,1,Passport Wallet,2022-05-11 17:03:52.053423,Beacon3
295,1,iPhone 8 Plus,2022-05-11 17:03:57.113947,Beacon1
296,1,House Keys,2022-05-11 17:03:57.122042,Beacon1
297,1,Wallet,2022-05-11 17:03:57.128661,Beacon1
